,created,user_location,tweet_text,username,all_hashtags,refine_text,text_length
24,11/9/2020 4:40,NA,b'According to a report in Indian Express: Varun Chakravarthy has a labrum tear in his shoulder that doesn\xe2\x80\x99t affect his bowling but hinders his throwing. It\xe2\x80\x99s an injury that he has had for a while but has aggravated as the #IPL2020 progressed. @BCCI  #IPL #Cricket',b'CricSidd',"['IPL2020', 'IPL', 'Cricket']",according report indian express varun chakravarthy labrum tear shoulder doesnxexxt affect bowling hinders throwing itxexxs injury aggravated progressed,41
25,11/9/2020 4:40,"Hyderabad, India","b'#IPL2020 Final #MIvsDC @MyTeam_11 Prediction: @mipaltan vs @DelhiCapitals Probable XI, Fantasy Playing Tips... . See Here:- https://t.co/Zk6gs1uM3J . #iplseason13 #IPLfinal #MumbaiIndians #DelhiCapitals #DCvsMI #DCvMI #MIvDC #MI #YehHaiNayiDilli #MIvsDC'",b'InsideSportIND',"['IPL2020', 'MIvsDC', 'iplseason13', 'IPLfinal', 'MumbaiIndians', 'DelhiCapitals', 'DCvsMI', 'DCvMI', 'MIvDC', 'MI', 'YehHaiNayiDilli', 'MIvsDC']",prediction v probable xi fantasy playing tip see,10
26,11/9/2020 4:40,India. AP. ,b'Congratulations For Your 1st IPL final.   @DelhiCapitals #DC #DelhiCapitals #DCvsSRH  #IPL2020 |#IPLfinal',b'VanzarePratik',"['DC', 'DelhiCapitals', 'DCvsSRH', 'IPL2020', 'IPLfinal']",congratulation st,6
27,11/9/2020 4:40,"Saket, New Delhi","b'People are taking Dhawan might be winning the orange cap this year. Dude you know na? Finals are against the Mumbai Indians, first over VS Trent boult. He will go for duck! so chill @klrahul11 nobody gonna take your cap. \xf0\x9f\x98\x89\xf0\x9f\x98\x82  #IPL2020 #IPLfinal'",b'naseemakram100',"['IPL2020', 'IPLfinal']",people taking dhawan might winning orange cap year dude know na final mumbai indian first v trent boult go duck chill nobody gonna take cap xfxfxxxfxfxx,40
28,11/9/2020 4:39,Junagadh,"b""Dude @absycric dig any of jofra's tweets regarding IPL 2020 winner  #IPL2020 #DCvsMI @JofraArcher""",b'nalorepedharedy',"['IPL2020', 'DCvsMI']",dude dig jofras tweet regarding winner,9
29,11/9/2020 4:39,NA,b'#IPL2020 | Delhi Capitals beat Sunrisers Hyderabad by 17 runs; will face Mumbai Indians in Finals on Tuesday.   Final Score:   #DC-   189/3 (20)  #SRH - 172/8 (20)  #SRHvsDC | #DCvSRH #\xe0\xb0\x9c\xe0\xb0\xbf\xe0\xb0\xad\xe0\xb0\xbe\xe0\xb0\xb5\xe0\xb0\xb5\xe0\xb0\xb0\xe0\xb0\x82 \xe0\xb0\x9c\xe0\xb0\xbf.\xe0\xb0\xad\xe0\xb0\xbe\xe0\xb0\xb5\xe0\xb0\xb5\xe0\xb0\xb0\xe0\xb0\x82 https://t.co/CZviCVMQbH',b'GBhavavaram',"['IPL2020', 'DC', 'SRH', 'SRHvsDC', 'DCvSRH', 'జిభావవరం']",delhi capital beat sunrisers hyderabad run face mumbai indian final tuesday score xexbxcxexbxbfxexbxadxexbxbexexbxbxexbxbxexbxbxexbx xexbxcxexbxbfxexbxadxexbxbexexbxbxexbxbxexbxbxexbx,19
30,11/9/2020 4:39,"New Delhi, India",b'Leaked image of Marcus Stoinis from a Wrestling ring in Australia...\xf0\x9f\x90\x90  Hulk for Delhi capital. Beast. #DCvSRH #DCvMI  #ipl2020 https://t.co/sN4JOIJZ03',b'tuktuk_lover',"['DCvSRH', 'DCvMI', 'ipl2020']",leaked image marcus stoinis wrestling ring australiaxfxfxx hulk delhi capital beast,16
31,11/9/2020 4:39,"Chennai, India","b'Many congratulations @DelhiCapitals for entering into the finals,Top performances were @SDhawan25 #MarcusStoinis #hetymer @KagisoRabada251\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbb. Hard-Luck @SunRisers \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\xa7\xa1 #SRH #DelhiCapitals #DCvsSRH #IPL2020 https://t.co/MmnlUigP6j'",b'NishanRai_',"['MarcusStoinis', 'hetymer', 'SRH', 'DelhiCapitals', 'DCvsSRH', 'IPL2020']",many congratulation entering finalstop performance xfxfxxfxfxfxfxbb hardluck xfxfxxdxfxfxfxbbxfxfxaxa,12
32,11/9/2020 4:39,Sri Lanka,"b""Alright! Kane Williamson. That's the tweet. #IPL2020""",b'MaskaaPaav',['IPL2020'],alright kane williamson thats tweet,6
33,11/9/2020 4:38,NA,"b""Isn't tat a no ball \xf0\x9f\x99\x84\xf0\x9f\x99\x84 #DCvSRH #IPL2020 https://t.co/H1lDMutFU4""",b'Praveen_raina_',"['DCvSRH', 'IPL2020']",isnt tat ball xfxfxxxfxfxx,6
